num,reg,pos,loc,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
36,0x13b0d8,16, 1089688,"  10a098:	daffffde 	ble	10a018 <usqrt+0x38>
",benign, 132, 132, 1067, 5, 704, 545, 1, 159, 333, 0, 134, 10826, 96, 3, 14, 1145, 238, 410, 3, 4230, 2783, 3822, 0, 0, 4, 636, 897, 1239, 52, 0, 0, 17, 22, 132, 6, 11716, 2899, 6305, 2, 0, 0, 316
37,0x10f800,28, 1089702,"  10a0a4:	e5832000 	str	r2, [r3]
",benign, 197, 131, 1033, 4, 663, 527, 1, 164, 332, 0, 131, 11536, 96, 3, 14, 1150, 212, 411, 3, 4697, 3267, 3795, 0, 0, 4, 631, 886, 1180, 52, 0, 0, 19, 23, 129, 5, 12126, 3338, 6726, 2, 0, 0, 316
38,0x122f94,2, 1089646,"  10a06c:	e51b3010 	ldr	r3, [fp, #-16]
",benign, 187, 132, 1102, 5, 728, 561, 1, 155, 332, 0, 142, 11618, 96, 3, 14, 1382, 211, 429, 3, 4951, 3508, 3982, 0, 0, 4, 642, 917, 1303, 55, 0, 0, 17, 21, 127, 5, 12214, 3520, 7055, 2, 0, 0, 317
39,0x10e0d8,21, 1089714,"  10a0b0:	e49db004 	pop	{fp}		; (ldr fp, [sp], #4)
",benign, 194, 132, 1023, 4, 666, 531, 1, 164, 332, 0, 137, 11533, 96, 3, 14, 1144, 209, 411, 3, 4695, 3284, 3809, 0, 0, 4, 657, 870, 1173, 54, 0, 0, 17, 21, 128, 5, 11903, 3402, 7060, 2, 0, 0, 316
40,0x13c864,3, 1089643,"  10a068:	e51b2008 	ldr	r2, [fp, #-8]
",benign, 190, 132, 1084, 4, 707, 551, 1, 156, 332, 0, 145, 11580, 96, 3, 14, 1248, 196, 468, 3, 5006, 3587, 3917, 0, 0, 4, 633, 907, 1265, 53, 0, 0, 17, 21, 127, 8, 12388, 3477, 6868, 2, 0, 0, 316
41,0x13d3c4,18, 1089585,"  10a030:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8
",benign, 180, 131, 1076, 5, 725, 562, 1, 156, 333, 0, 141, 11575, 96, 3, 14, 1169, 204, 411, 3, 4994, 3535, 4029, 0, 0, 4, 640, 921, 1279, 54, 0, 0, 17, 21, 127, 8, 12098, 3594, 7198, 2, 0, 0, 317
42,0x138cec,12, 1089615,"  10a04c:	e1a03083 	lsl	r3, r3, #1
",benign, 192, 132, 1006, 4, 664, 532, 1, 164, 332, 0, 135, 11404, 96, 3, 14, 1225, 210, 415, 3, 4930, 3505, 3812, 0, 0, 4, 630, 882, 1186, 54, 0, 0, 19, 23, 129, 5, 12131, 3413, 6738, 2, 0, 0, 316
43,0x103fd4,20, 1089823,"  10a11c:	eddf1b07 	vldr	d17, [pc, #28]	; 10a140 <deg2rad+0x40>
",benign, 113, 132, 1005, 1, 666, 531, 1, 164, 333, 0, 135, 10645, 96, 3, 14, 1148, 197, 410, 3, 3929, 2514, 3763, 0, 0, 4, 625, 895, 1183, 53, 0, 0, 17, 22, 126, 2, 11256, 2678, 5969, 1, 0, 0, 316
44,0x132b88,24, 1089593,"  10a038:	e50b3018 	str	r3, [fp, #-24]	; 0xffffffe8
",benign, 192, 131, 1069, 4, 702, 546, 1, 160, 332, 0, 134, 11351, 96, 3, 14, 1815, 419, 415, 3, 4921, 3474, 3898, 0, 0, 4, 645, 892, 1246, 55, 0, 0, 19, 23, 135, 8, 12279, 3645, 7042, 2, 0, 0, 317
45,0x133f14,6, 1089597,"  10a03c:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec
",benign, 180, 131, 1033, 5, 668, 527, 1, 164, 333, 0, 136, 11368, 96, 3, 14, 1205, 203, 427, 3, 4956, 3531, 3826, 0, 0, 4, 628, 891, 1186, 54, 0, 0, 17, 21, 127, 8, 12382, 3423, 6871, 2, 0, 0, 316
