num,reg,pos,loc,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
46,0x126174,29, 1051595,"  100bc8:	e50b3020 	str	r3, [fp, #-32]	; 0xffffffe0
",benign, 504, 416, 2889, 2, 1772, 1086, 1, 519, 725, 0, 245, 24304, 521, 3, 93, 2971, 1184, 395, 3, 14132, 6424, 8219, 0, 0, 33, 1847, 2029, 2917, 93, 0, 0, 18, 54, 134, 2, 24543, 16422, 19868, 1, 0, 0, 316
47,0x10aad0,18, 1061068,"  1030cc:	e0823003 	add	r3, r2, r3
",benign, 344, 254, 2897, 1, 1780, 1087, 1, 519, 725, 0, 248, 24420, 521, 3, 94, 2837, 1258, 415, 3, 13967, 6335, 8170, 0, 0, 33, 1848, 2030, 2913, 91, 0, 0, 17, 166, 129, 2, 24927, 16511, 19841, 1, 0, 0, 375
48,0x123e28,16, 1054548,"  101754:	e1a02de3 	ror	r2, r3, #27
",benign, 287, 198, 2878, 2, 1773, 1081, 1, 521, 728, 0, 254, 24294, 524, 3, 94, 2762, 1455, 395, 3, 14081, 6363, 8226, 0, 0, 33, 1907, 2090, 2909, 91, 0, 0, 18, 22, 134, 2, 24692, 16399, 19681, 1, 0, 0, 316
49,0x119898,18, 1061103,"  1030ec:	e51b3010 	ldr	r3, [fp, #-16]
",benign, 291, 198, 2873, 2, 1771, 1081, 1, 522, 734, 0, 236, 24521, 531, 3, 92, 2836, 1483, 411, 3, 14607, 6745, 8203, 0, 0, 34, 1839, 2062, 2896, 91, 0, 0, 17, 71, 114, 2, 24635, 16426, 19931, 1, 0, 0, 374
50,0x107784,30, 1061022,"  10309c:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8
",benign, 288, 198, 2880, 1, 1776, 1088, 1, 522, 734, 0, 233, 24198, 531, 3, 93, 2904, 1191, 395, 3, 14266, 6585, 8222, 0, 0, 34, 1843, 2066, 2898, 91, 0, 0, 18, 42, 130, 2, 24953, 16639, 19925, 1, 0, 0, 316
51,0x1120e0,3, 1054652,"  1017bc:	e51b300c 	ldr	r3, [fp, #-12]
",benign, 348, 257, 2871, 2, 1774, 1086, 1, 522, 734, 0, 253, 24269, 531, 3, 92, 2905, 1391, 412, 3, 14311, 6678, 8217, 0, 0, 34, 1834, 2057, 2899, 91, 0, 0, 17, 33, 130, 2, 24975, 16680, 20166, 1, 0, 0, 316
52,0x123ee8,9, 1062031,"  10348c:	e8ac0007 	stmia	ip!, {r0, r1, r2}
",benign, 284, 198, 2884, 2, 1773, 1082, 1, 521, 728, 0, 248, 24153, 524, 3, 94, 2857, 1270, 415, 3, 13999, 6410, 8198, 0, 0, 33, 1864, 2041, 2916, 94, 0, 0, 17, 21, 128, 2, 24455, 16346, 19650, 1, 0, 0, 316
53,0x10a0c4,28, 1053501,"  10133c:	e3073999 	movw	r3, #31129	; 0x7999
",benign, 296, 196, 2851, 2, 1751, 1081, 1, 521, 727, 0, 257, 24260, 524, 3, 91, 3011, 1084, 453, 3, 14149, 6431, 8145, 0, 0, 34, 1845, 2015, 2888, 92, 0, 0, 17, 33, 132, 2, 24726, 16555, 19867, 1, 0, 0, 316
54,0x11e6f4,19, 1059163,"  102958:	e1a03163 	ror	r3, r3, #2
",benign, 285, 198, 2880, 2, 1781, 1086, 1, 519, 725, 0, 246, 24141, 521, 3, 93, 2673, 1415, 415, 3, 14186, 6528, 8163, 0, 0, 33, 1840, 2036, 2911, 91, 0, 0, 18, 21, 114, 2, 24504, 16616, 20043, 1, 0, 0, 316
55,0x132300,21, 1057591,"  102334:	e51b3018 	ldr	r3, [fp, #-24]	; 0xffffffe8
",benign, 285, 198, 2873, 1, 1779, 1087, 1, 519, 725, 0, 241, 24161, 521, 3, 94, 3012, 1195, 398, 3, 14042, 6152, 8156, 0, 0, 33, 1861, 2029, 2918, 93, 0, 0, 17, 33, 130, 2, 24879, 16488, 19826, 1, 0, 0, 316
