num,reg,pos,loc,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
16,r3,3, 1088238,"  109aec:	e3403012 	movt	r3, #18
",benign, 518, 271, 25203, 3, 17548, 5507, 1, 4794, 6834, 4, 847, 97567, 7171, 3, 161, 4802, 1446, 439, 3, 39888, 13950, 78942, 0, 0, 582, 25263, 22747, 24105, 166, 0, 0, 19, 90, 135, 2, 98505, 89845, 93075, 2, 0, 0, 316
17,r0,0, 1087921,"  1099b0:	e30834d8 	movw	r3, #34008	; 0x84d8
",benign, 510, 268, 24695, 3, 17201, 5439, 1, 4674, 6683, 2, 852, 96567, 7010, 3, 156, 4992, 1658, 426, 3, 39303, 13852, 77768, 0, 0, 572, 24897, 22294, 23617, 164, 0, 0, 19, 95, 323, 2, 96671, 88134, 91309, 2, 0, 0, 339
18,r1,26, 1087188,"  1096d4:	e5933000 	ldr	r3, [r3]
",benign, 438, 239, 20079, 6, 14000, 4429, 1, 3806, 5455, 1, 682, 79902, 5680, 3, 130, 4690, 1414, 441, 3, 32278, 12320, 64344, 0, 0, 472, 20575, 18700, 19198, 143, 0, 0, 19, 68, 154, 5, 80379, 71772, 75199, 2, 0, 0, 316
19,r3,23, 1087419,"  1097b8:	e3083448 	movw	r3, #33864	; 0x8448
",benign, 474, 231, 18801, 3, 13131, 4166, 0, 3563, 5125, 2, 734, 77994, 5308, 3, 119, 4936, 1400, 432, 3, 31740, 12739, 60545, 0, 0, 432, 19323, 17524, 18086, 131, 0, 0, 19, 69, 149, 4, 77231, 68721, 71926, 2, 0, 0, 316
20,r0,12, 1087512,"  109818:	e3403012 	movt	r3, #18
",benign, 472, 253, 19009, 6, 13262, 4248, 1, 3625, 5216, 1, 743, 78910, 5411, 3, 132, 5070, 1437, 444, 3, 32712, 12739, 61068, 0, 0, 442, 19559, 17615, 18276, 132, 0, 0, 19, 68, 158, 5, 78574, 70090, 73314, 2, 0, 0, 316
21,r2,26, 1087284,"  109734:	e51b200c 	ldr	r2, [fp, #-12]
",benign, 447, 228, 22338, 6, 15614, 4879, 2, 4189, 6031, 1, 750, 86435, 6295, 3, 117, 4943, 1300, 454, 3, 34368, 12720, 70991, 0, 0, 512, 22958, 20401, 21288, 149, 0, 0, 19, 60, 124, 2, 87045, 78588, 81815, 1, 0, 0, 316
22,r3,7, 1087647,"  10989c:	e50b27f8 	str	r2, [fp, #-2040]	; 0xfffff808
",benign, 420, 239, 22009, 3, 15325, 4847, 0, 4127, 5960, 1, 729, 86078, 6224, 3, 129, 4915, 1526, 432, 3, 34407, 12793, 69920, 0, 0, 512, 22553, 20201, 20947, 149, 0, 0, 19, 72, 145, 4, 86370, 77964, 81397, 2, 0, 0, 316
23,r1,6, 1087473,"  1097f0:	e5932004 	ldr	r2, [r3, #4]
",benign, 503, 283, 25184, 3, 17534, 5520, 1, 4794, 6834, 2, 842, 97651, 7171, 3, 160, 4916, 1644, 451, 3, 39886, 14034, 79084, 0, 0, 582, 25129, 22792, 24073, 167, 0, 0, 19, 105, 150, 4, 98038, 89431, 92633, 2, 0, 0, 327
24,r0,28, 1087399,"  1097a4:	e50b2018 	str	r2, [fp, #-24]	; 0xffffffe8
",benign, 496, 264, 19014, 3, 13264, 4249, 1, 3625, 5216, 1, 725, 78617, 5411, 3, 130, 5016, 1563, 450, 3, 33184, 13150, 61050, 0, 0, 442, 19486, 17722, 18331, 134, 0, 0, 19, 69, 285, 5, 79072, 70307, 73536, 2, 0, 0, 316
25,r1,4, 1087227,"  1096f8:	e5832000 	str	r2, [r3]
",benign, 471, 239, 20096, 3, 14017, 4426, 1, 3806, 5455, 1, 681, 80340, 5680, 3, 130, 4627, 1297, 443, 3, 32604, 12743, 64324, 0, 0, 472, 20460, 18719, 19177, 143, 0, 0, 19, 68, 145, 5, 80402, 71920, 75159, 2, 0, 0, 326
