num,reg,pos,loc,reg,pos,loc,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
17,r2,12, 1087955,r1,30, 1087955,r3,28, 1087955, 1040,"  1099d0:	e5832004 	str	r2, [r3, #4]",benign, 573, 338, 25221, 2, 17517, 5467, 1, 4794, 6834, 0, 713, 97273, 7171, 3, 162, 4576, 1790, 483, 3, 39590, 13754, 78689, 0, 0, 582, 25354, 22504, 23932, 171, 0, 0, 19, 47, 135, 2, 97445, 88912, 92080, 1, 0, 0, 379,-
18,r0,13, 1087544,r2,3, 1087544,r3,4, 1087544, 1044,"  109838:	e3403012 	movt	r3, #18",benign, 531, 308, 19039, 5, 13256, 4223, 1, 3625, 5216, 0, 647, 78313, 5411, 3, 132, 4727, 1749, 471, 3, 32682, 12332, 60834, 0, 0, 442, 19521, 17676, 18199, 136, 0, 0, 19, 66, 127, 3, 78373, 70318, 73500, 1, 0, 0, 379,-
19,r3,15, 1087355,r0,22, 1087355,r0,10, 1087355, 1040,"  109778:	e5832008 	str	r2, [r3, #8]",benign, 614, 340, 25236, 2, 17541, 5469, 1, 4794, 6834, 1, 736, 98197, 7171, 3, 164, 4790, 1990, 483, 4, 39883, 14127, 78866, 0, 0, 582, 25293, 22568, 23928, 173, 0, 0, 19, 46, 125, 2, 97841, 89343, 92525, 1, 0, 0, 390,-
20,r0,23, 1088135,r2,20, 1088135,r0,7, 1088135, 1036,"  109a84:	e1530002 	cmp	r3, r2",benign, 660, 334, 20598, 2, 14316, 4572, 1, 3936, 5646, 1, 686, 85917, 5893, 3, 158, 4914, 1747, 484, 3, 35674, 13150, 65638, 0, 0, 492, 21199, 19100, 19681, 156, 0, 0, 18, 43, 143, 2, 85226, 76664, 79900, 1, 0, 0, 379,-
21,r0,20, 1088058,r0,1, 1088058,r2,23, 1088058, 1041,"  109a38:	e1a01201 	lsl	r1, r1, #4",benign, 634, 322, 21379, 2, 14874, 4698, 1, 3996, 5736, 1, 645, 84891, 5992, 3, 144, 4441, 1818, 653, 3, 34972, 12942, 67564, 0, 0, 502, 21841, 19414, 20336, 152, 0, 0, 18, 65, 124, 2, 85585, 76940, 80140, 1, 0, 0, 381,-
23,r0,23, 1087643,r3,11, 1087643,r1,18, 1087643, 1036,"  109898:	e51b0008 	ldr	r0, [fp, #-8]",benign, 494, 147, 20598, 2, 14330, 4579, 1, 3937, 5645, 0, 666, 84570, 5892, 3, 157, 4956, 1761, 473, 3, 35827, 13180, 65636, 0, 0, 492, 21217, 18957, 19579, 153, 0, 0, 18, 43, 128, 2, 84832, 76340, 79629, 1, 0, 0, 379,-
24,r1,25, 1088179,r3,17, 1088179,r2,25, 1088179, 1038,"  109ab0:	e30834e4 	movw	r3, #34020	; 0x84e4",benign, 650, 295, 18860, 2, 13158, 4145, 1, 3563, 5124, 1, 660, 78137, 5308, 3, 119, 4766, 1683, 474, 3, 32458, 13143, 60162, 0, 0, 432, 19347, 17503, 18034, 134, 0, 0, 19, 63, 125, 2, 78270, 69299, 72511, 1, 0, 0, 400,-
25,r1,22, 1088391,r2,3, 1088391,r0,29, 1088391, 1046,"  109b84:	e3403012 	movt	r3, #18",benign, 642, 295, 22389, 2, 15606, 4845, 1, 4189, 6031, 2, 670, 87663, 6295, 3, 118, 4616, 1766, 472, 3, 35255, 13523, 71059, 0, 0, 512, 22996, 20450, 21266, 150, 0, 0, 19, 62, 126, 2, 87537, 79394, 82550, 1, 0, 0, 389,-
26,r3,18, 1087980,r3,16, 1087980,r2,20, 1087980, 1038,"  1099ec:	e3402012 	movt	r2, #18",benign, 534, 296, 18801, 5, 13117, 4143, 1, 3563, 5124, 0, 622, 76516, 5308, 3, 120, 4741, 1737, 483, 3, 31537, 12262, 60208, 0, 0, 432, 19289, 17546, 18045, 137, 0, 0, 19, 36, 135, 5, 76977, 68820, 72021, 1, 0, 0, 389,-
27,r3,19, 1087642,r1,31, 1087642,r3,17, 1087642, 1046,"  109898:	e51b0008 	ldr	r0, [fp, #-8]",benign, 628, 294, 22383, 2, 15605, 4842, 1, 4189, 6031, 0, 685, 87563, 6295, 3, 118, 4918, 1958, 474, 3, 35331, 13414, 71076, 0, 0, 512, 22949, 20517, 21294, 147, 0, 0, 19, 62, 126, 2, 87645, 79351, 82521, 1, 0, 0, 379,-
28,r2,0, 1087290,r0,17, 1087290,r1,29, 1087290, 1038,"  109738:	e3403012 	movt	r3, #18",benign, 605, 294, 18836, 2, 13139, 4144, 1, 3563, 5124, 0, 641, 77766, 5308, 3, 119, 4625, 1707, 475, 3, 32580, 13049, 60311, 0, 0, 432, 19174, 17583, 17970, 138, 0, 0, 19, 37, 129, 2, 77791, 69311, 72558, 1, 0, 0, 391,-
29,r0,2, 1087383,r0,25, 1087383,r1,15, 1087383, 1046,"  109794:	e3083448 	movw	r3, #33864	; 0x8448",benign, 616, 295, 22374, 2, 15597, 4850, 1, 4189, 6031, 1, 659, 87173, 6295, 3, 118, 4709, 1848, 494, 3, 35081, 13177, 71000, 0, 0, 512, 23037, 20434, 21277, 149, 0, 0, 19, 61, 127, 2, 87160, 79237, 82428, 1, 0, 0, 379,-
30,r0,2, 1087577,r1,7, 1087577,r0,27, 1087577, 1045,"  109858:	e5932004 	ldr	r2, [r3, #4]",benign, 626, 304, 18263, 2, 12706, 4074, 1, 3455, 5000, 0, 620, 75996, 5185, 3, 128, 4870, 1733, 462, 3, 32037, 13067, 58829, 0, 0, 432, 19146, 16901, 17428, 134, 0, 0, 19, 43, 125, 2, 75734, 67522, 70709, 1, 0, 0, 400,-
31,r0,17, 1088098,r2,7, 1088098,r0,12, 1088098, 1042,"  109a60:	e1530002 	cmp	r3, r2",benign, 647, 305, 20123, 2, 14035, 4404, 1, 3806, 5455, 1, 637, 80752, 5680, 3, 131, 4466, 1717, 483, 3, 33404, 13233, 64043, 0, 0, 472, 20716, 18565, 19118, 144, 0, 0, 19, 64, 125, 2, 81104, 72924, 76109, 1, 0, 0, 400,-
32,r0,23, 1088186,r1,16, 1088186,r1,29, 1088186, 1038,"  109ab8:	e5933000 	ldr	r3, [r3]",benign, 662, 295, 18824, 2, 13123, 4136, 1, 3563, 5124, 1, 617, 77278, 5308, 3, 119, 4903, 1633, 492, 3, 32472, 13113, 60142, 0, 0, 432, 19282, 17568, 18029, 133, 0, 0, 19, 62, 125, 2, 77793, 69730, 73113, 1, 0, 0, 380,-
33,r1,27, 1087619,r0,24, 1087619,r3,26, 1087619, 1037,"  109880:	e3403012 	movt	r3, #18",benign, 619, 306, 14257, 2, 9906, 3256, 1, 2712, 3933, 1, 548, 64230, 4028, 3, 130, 4631, 1760, 483, 4, 28360, 12073, 46594, 0, 0, 342, 15095, 13480, 13670, 113, 0, 0, 19, 41, 125, 2, 64292, 56127, 59316, 1, 0, 0, 380,-
