num,reg,pos,loc,reg,pos,loc,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
2,r3,13, 1085026,r3,24, 1085026,r2,4, 1085026, 1041,"  108e60:	e50b1014 	str	r1, [fp, #-20]	; 0xffffffec",benign, 421, 171, 4782, 2, 3153, 1123, 1, 864, 1013, 0, 272, 43678, 919, 3, 32, 2935, 505, 424, 3, 31542, 6530, 11372, 0, 0, 146, 2793, 2736, 4402, 53, 0, 0, 19, 25, 120, 2, 44485, 35841, 39094, 1, 0, 0, 316,-
3,r3,16, 1085053,r3,3, 1085053,r0,3, 1085053, 1043,"  108e7c:	e5832000 	str	r2, [r3]",benign, 408, 151, 4756, 3, 3125, 1117, 1, 854, 1004, 1, 266, 44100, 909, 3, 34, 3081, 425, 506, 3, 31723, 6566, 11310, 0, 0, 144, 2771, 2714, 4363, 53, 0, 0, 19, 26, 214, 4, 44545, 36581, 39890, 2, 0, 0, 322,-
4,r1,21, 1085048,r2,30, 1085048,r2,16, 1085048, 1046,"  108e78:	e51b3010 	ldr	r3, [fp, #-16]",benign, 326, 170, 4947, 2, 3257, 1179, 0, 887, 1033, 0, 266, 43932, 950, 3, 32, 3301, 453, 426, 3, 31285, 6211, 11580, 0, 0, 157, 2901, 2774, 4570, 56, 0, 0, 19, 27, 120, 2, 44354, 35676, 38952, 1, 0, 0, 317,-
5,r3,10, 1085013,r1,24, 1085013,r0,16, 1085013, 1046,"  108e54:	e28db000 	add	fp, sp, #0",benign, 395, 157, 4952, 2, 3253, 1177, 1, 887, 1033, 0, 272, 44544, 950, 3, 33, 3047, 443, 420, 3, 31808, 6741, 11634, 0, 0, 157, 2899, 2783, 4558, 55, 0, 0, 19, 28, 119, 3, 44836, 36025, 39329, 1, 0, 0, 329,-
7,r1,1, 1085054,r0,6, 1085054,r0,13, 1085054, 1062,"  108e7c:	e5832000 	str	r2, [r3]",benign, 331, 24, 4990, 2, 3299, 1187, 1, 889, 1038, 0, 291, 44632, 954, 3, 32, 3240, 421, 425, 3, 31945, 6784, 11793, 0, 0, 156, 2908, 2820, 4606, 57, 0, 0, 19, 24, 120, 2, 45337, 36474, 39717, 1, 0, 0, 322,-
10,r0,24, 1085048,r3,10, 1085048,r0,26, 1085048, 1057,"  108e78:	e51b3010 	ldr	r3, [fp, #-16]",benign, 229, 24, 4930, 2, 3259, 1178, 1, 877, 1026, 0, 266, 43687, 940, 3, 32, 2935, 499, 432, 3, 31307, 6192, 11559, 0, 0, 154, 2878, 2781, 4516, 58, 0, 0, 19, 24, 120, 2, 44329, 35995, 39440, 1, 0, 0, 337,-
11,r3,4, 1085046,r0,23, 1085046,r1,7, 1085046, 1047,"  108e74:	e5932000 	ldr	r2, [r3]",benign, 414, 172, 4788, 3, 3161, 1136, 0, 897, 1041, 0, 279, 44804, 960, 3, 32, 3110, 398, 425, 3, 32228, 7095, 11747, 0, 0, 158, 2874, 2818, 4597, 54, 0, 0, 19, 27, 120, 3, 44847, 36523, 39837, 1, 0, 0, 317,-
12,r3,25, 1085043,r3,24, 1085043,r0,3, 1085043, 1039,"  108e70:	e51b3014 	ldr	r3, [fp, #-20]	; 0xffffffec",benign, 410, 155, 4778, 2, 3147, 1118, 1, 864, 1013, 0, 271, 44209, 919, 3, 32, 2976, 425, 421, 3, 31744, 6690, 11364, 0, 0, 146, 2803, 2717, 4388, 54, 0, 0, 19, 25, 142, 2, 45016, 36368, 39822, 1, 0, 0, 335,-
13,r3,31, 1085047,r3,17, 1085047,r3,26, 1085047, 1041,"  108e74:	e5932000 	ldr	r2, [r3]",SDC, 401, 149, 4785, 2, 3151, 1123, 1, 861, 1011, 0, 279, 44197, 917, 3, 33, 2913, 432, 410, 3, 31680, 6608, 11354, 0, 0, 146, 2775, 2722, 4401, 56, 0, 0, 19, 25, 120, 2, 44862, 35948, 39235, 1, 0, 0, 319,-
14,r3,27, 1085014,r0,17, 1085014,r1,23, 1085014, 1045,"  108e54:	e28db000 	add	fp, sp, #0",SDC, 431, 173, 5005, 2, 3300, 1164, 1, 933, 1059, 0, 271, 44666, 986, 3, 34, 2927, 438, 414, 3, 31716, 6467, 11768, 0, 0, 167, 2859, 2815, 4592, 57, 0, 0, 19, 26, 142, 2, 45115, 36468, 39779, 1, 0, 0, 338,-
