num,reg,pos,loc,reg,pos,loc,reg,pos,loc,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,r0,3, 1068285,"  104cfc:	e7933100 	ldr	r3, [r3, r0, lsl #2]
",r1,18, 1068285,"  104cfc:	e7933100 	ldr	r3, [r3, r0, lsl #2]
",r1,31, 1068285,"  104cfc:	e7933100 	ldr	r3, [r3, r0, lsl #2]
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,r0,10, 1074672,"  1065f0:	e3403011 	movt	r3, #17
",r2,26, 1074672,"  1065f0:	e3403011 	movt	r3, #17
",r0,3, 1074672,"  1065f0:	e3403011 	movt	r3, #17
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,r0,19, 1075699,"  1069f0:	e30c3cc0 	movw	r3, #52416	; 0xccc0
",r2,21, 1075699,"  1069f0:	e30c3cc0 	movw	r3, #52416	; 0xccc0
",r2,2, 1075699,"  1069f0:	e30c3cc0 	movw	r3, #52416	; 0xccc0
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,r2,9, 1079881,"  107a48:	e6ef3073 	uxtb	r3, r3
",r0,20, 1079881,"  107a48:	e6ef3073 	uxtb	r3, r3
",r1,7, 1079881,"  107a48:	e6ef3073 	uxtb	r3, r3
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,r0,27, 1067018,"  104808:	e3403011 	movt	r3, #17
",r3,22, 1067018,"  104808:	e3403011 	movt	r3, #17
",r0,1, 1067018,"  104808:	e3403011 	movt	r3, #17
",SDC, 685, 225, 3885, 2, 2993, 870, 1, 324, 503, 13, 243, 45457, 293, 3, 233, 4071, 11840, 409, 13, 32486, 7847, 11756, 0, 0, 26, 3145, 3210, 3919, 35, 0, 0, 19, 23, 127, 2, 46024, 37360, 40940, 1, 0, 0, 316
5,r0,27, 1070091,"  105408:	e6ef3073 	uxtb	r3, r3
",r3,9, 1070091,"  105408:	e6ef3073 	uxtb	r3, r3
",r2,0, 1070091,"  105408:	e6ef3073 	uxtb	r3, r3
",SDC, 841, 348, 3867, 2, 2963, 864, 1, 324, 503, 13, 239, 45692, 293, 3, 237, 4615, 11326, 419, 11, 32189, 7849, 11755, 0, 0, 26, 3162, 3200, 3924, 34, 0, 0, 17, 21, 136, 2, 46476, 37539, 41087, 1, 0, 0, 317
6,r3,19, 1071505,"  105990:	e3403011 	movt	r3, #17
",r0,27, 1071505,"  105990:	e3403011 	movt	r3, #17
",r2,31, 1071505,"  105990:	e3403011 	movt	r3, #17
",SDC, 886, 347, 3858, 2, 2961, 865, 1, 324, 504, 13, 240, 45649, 293, 3, 234, 3794, 11188, 409, 11, 32000, 7607, 11750, 0, 0, 26, 3171, 3182, 3923, 37, 0, 0, 19, 23, 169, 2, 45588, 36620, 40297, 1, 0, 0, 317
7,r3,13, 1075854,"  106a8c:	e1a00003 	mov	r0, r3
",r3,31, 1075854,"  106a8c:	e1a00003 	mov	r0, r3
",r3,22, 1075854,"  106a8c:	e1a00003 	mov	r0, r3
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,r1,14, 1062901,"  1037f4:	e1a00003 	mov	r0, r3
",r2,5, 1062901,"  1037f4:	e1a00003 	mov	r0, r3
",r1,29, 1062901,"  1037f4:	e1a00003 	mov	r0, r3
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,r2,30, 1070285,"  1054cc:	e30b3cc0 	movw	r3, #48320	; 0xbcc0
",r3,8, 1070285,"  1054cc:	e30b3cc0 	movw	r3, #48320	; 0xbcc0
",r3,25, 1070285,"  1054cc:	e30b3cc0 	movw	r3, #48320	; 0xbcc0
",SDC, 781, 228, 3883, 2, 2991, 869, 1, 324, 503, 12, 228, 45295, 293, 3, 242, 4657, 11870, 419, 13, 32575, 7799, 11749, 0, 0, 26, 3176, 3182, 3919, 37, 0, 0, 19, 23, 136, 2, 45980, 37137, 40760, 1, 0, 0, 317
10,r0,29, 1070410,"  105548:	e2800c02 	add	r0, r0, #512	; 0x200
",r3,4, 1070410,"  105548:	e2800c02 	add	r0, r0, #512	; 0x200
",r2,1, 1070410,"  105548:	e2800c02 	add	r0, r0, #512	; 0x200
",SDC, 850, 352, 3861, 3, 2959, 863, 1, 324, 504, 12, 231, 45251, 293, 3, 239, 3865, 12123, 508, 12, 32785, 7492, 11763, 0, 0, 26, 3165, 3202, 3923, 36, 0, 0, 19, 23, 218, 6, 46551, 37446, 41128, 2, 0, 0, 316
